/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
    1     276   23.2767   22.3935   2.9438   21.5094
    1     277   22.0295   21.1673   2.8738   21.5094
    1     278   21.8596   20.9724   2.9573   21.5094
    1     279   22.5250   21.7503   2.5825   21.5094
    1     280   24.1601   23.3983   2.5392   21.5094
    1     281   26.5468   25.6919   2.8495   21.5094
    1     282   21.7423   20.8441   2.9940   21.5094
    1     283   22.1184   21.2685   2.8327   21.5094
    1     284   22.6098   21.8183   2.6382   21.5094
    1     285   23.7986   23.1025   2.3205   21.5094
    1     286   23.2648   22.3778   2.9566   21.5094
    1     287   22.5644   21.7569   2.6917   21.5094
    1     288   21.8175   20.9183   2.9976   21.5094
    1     289   22.3407   21.5092   2.7719   21.5094
    1     290   22.9979   22.2337   2.5474   21.5094
    1     291   21.5012   20.5670   3.1138   21.5012 **
    1     292   27.5650   26.8103   2.5157   21.5012
    1     293   22.7674   21.9925   2.5829   21.5012
    1     294   22.1083   21.2557   2.8421   21.5012
    1     295   22.9374   22.0066   3.1027   21.5012
    1     296   22.9704   22.0055   3.2161   21.5012
    1     297   22.7653   22.0003   2.5499   21.5012
    1     298   21.8323   20.9506   2.9390   21.5012
    1     299   21.8496   20.9565   2.9769   21.5012
