/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 500
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Components: lattice_density=0.016  reach_spread=0.395  lattice_latitude=0.740  reach_latitude=0.683  lattice_shelf=0.064  civ_gap=0.898  peak_asymmetry=0.000  edge_topology=0.027  climate_crop=0.337  yield_asymmetry=0.001  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_gate=5.600  supply_chain=0.000  cu_tech_lead=0.000  au_priority=4.000  serial_horizon=4.000  maritime_asymmetry=0.372  colonial_extraction=1.740  nuclear_convergence=6.128  df_timing=0.196  sov_ordering=0.007  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.014  epi_correlation=0.081

Trial     Total      Mean      Std      Best
  239   29.5956   29.2395   1.1871   24.2788
  240   25.1153   24.6818   1.4452   24.2788
  241   26.4933   26.0344   1.5298   24.2788
  242   25.0731   24.6752   1.3263   24.2788
  243   30.4256   29.9196   1.6867   24.2788
  244   31.1307   30.4867   2.1467   24.2788
  245   24.6434   24.1475   1.6529   24.2788
  246   26.3163   25.7753   1.8032   24.2788
  247   31.7586   31.2830   1.5853   24.2788
  248   29.6350   29.2634   1.2387   24.2788
  249   24.4750   23.9423   1.7757   24.2788
  250   30.6147   30.1017   1.7102   24.2788
  251   24.3845   23.8532   1.7711   24.2788
  252   25.9106   25.4376   1.5766   24.2788
  253   24.3182   23.7570   1.8706   24.2788
  254   24.3854   23.8352   1.8340   24.2788
  255   26.6811   26.4950   0.6205   24.2788
  256   24.8984   24.4643   1.4472   24.2788
  257   27.5076   27.0106   1.6567   24.2788
  258   30.4183   29.9089   1.6978   24.2788
  259   29.0257   28.4955   1.7671   24.2788
  260   25.0660   24.6106   1.5178   24.2788
  261   30.0036   29.4390   1.8822   24.2788
  262   28.8559   28.3094   1.8215   24.2788
  263   25.0717   24.6198   1.5064   24.2788
  264   31.1305   30.6605   1.5667   24.2788
  265   29.3496   28.9571   1.3084   24.2788
  266   31.6085   31.0717   1.7891   24.2788
  267   24.3410   23.7848   1.8540   24.2788
  268   24.7993   24.3851   1.3805   24.2788
  269   26.4669   25.9681   1.6627   24.2788
  270   24.9411   24.5815   1.1987   24.2788
  271   25.9391   25.4323   1.6896   24.2788
  272   30.0924   29.5350   1.8582   24.2788
  273   24.6711   24.1886   1.6083   24.2788
  274   27.8448   27.1621   2.2757   24.2788
  275   24.5669   24.0440   1.7431   24.2788
  276   28.8163   28.2420   1.9143   24.2788
  277   25.2806   24.9724   1.0273   24.2788
  278   26.4924   25.9437   1.8291   24.2788
  279   27.3652   27.0331   1.1069   24.2788
  280   26.8658   26.4822   1.2787   24.2788
  281   26.0904   25.5868   1.6786   24.2788
  282   27.3926   26.8186   1.9133   24.2788
  283   24.9601   24.6193   1.1359   24.2788
  284   26.0310   25.5498   1.6042   24.2788
  285   26.0142   25.5719   1.4744   24.2788
  286   25.1417   24.7202   1.4050   24.2788
  287   25.8879   25.4166   1.5712   24.2788
  288   25.7104   25.1723   1.7937   24.2788
  289   24.7242   24.2429   1.6041   24.2788
  290   26.4306   25.9402   1.6347   24.2788
  291   26.0131   25.5435   1.5652   24.2788
  292   24.7247   24.2668   1.5262   24.2788
  293   26.2005   25.6856   1.7164   24.2788
  294   26.3099   25.8984   1.3719   24.2788
  295   25.2291   24.8509   1.2606   24.2788
  296   25.2509   24.9253   1.0853   24.2788
  297   25.3580   25.1060   0.8401   24.2788
  298   25.8586   25.3616   1.6566   24.2788
  299   30.7296   30.2087   1.7365   24.2788
  300   26.3048   25.7742   1.7687   24.2788
  301   24.9455   24.4888   1.5223   24.2788
  302   28.8382   28.2849   1.8442   24.2788
  303   25.6473   25.1009   1.8213   24.2788
  304   28.8120   28.2450   1.8899   24.2788
  305   25.1718   24.7642   1.3588   24.2788
  306   27.2827   26.7373   1.8178   24.2788
  307   24.4418   23.9182   1.7454   24.2788
  308   25.8437   25.3581   1.6189   24.2788
  309   25.7555   25.2545   1.6700   24.2788
  310   24.6723   24.1896   1.6089   24.2788
  311   24.8281   24.3281   1.6666   24.2788
  312   26.4322   25.8573   1.9166   24.2788
  313   26.0746   25.6114   1.5439   24.2788
  314   24.9284   24.5589   1.2318   24.2788
  315   24.8988   24.5166   1.2739   24.2788
  316   30.0521   29.4890   1.8772   24.2788
  317   25.6712   25.1427   1.7616   24.2788
  318   25.6260   25.3767   0.8309   24.2788
  319   24.9160   24.5196   1.3215   24.2788
  320   24.9266   24.5578   1.2292   24.2788
  321   24.4825   23.9538   1.7622   24.2788
  322   25.0524   24.6440   1.3614   24.2788
  323   24.9751   24.5311   1.4799   24.2788
  324   25.4134   25.1137   0.9990   24.2788
  325   26.0716   25.6317   1.4664   24.2788
  326   24.9408   24.5675   1.2443   24.2788
  327   27.6263   27.0982   1.7604   24.2788
  328   24.8192   24.3134   1.6859   24.2788
  329   27.5349   26.9052   2.0993   24.2788
  330   24.6165   24.1269   1.6320   24.2788
  331   25.6121   25.0665   1.8186   24.2788
  332   25.1224   24.7769   1.1517   24.2788
  333   29.4186   29.0423   1.2543   24.2788
  334   24.6944   24.2233   1.5701   24.2788
  335   26.5336   26.0657   1.5595   24.2788
  336   26.3434   25.8422   1.6706   24.2788
  337   30.0720   29.5183   1.8457   24.2788
  338   25.7399   25.2317   1.6940   24.2788
  339   26.6207   25.9784   2.1410   24.2788
  340   24.7415   24.2679   1.5787   24.2788
  341   29.2577   28.8272   1.4352   24.2788
  342   25.7223   25.1982   1.7469   24.2788
  343   25.2662   24.9468   1.0646   24.2788
  344   24.9448   24.5945   1.1679   24.2788
  345   27.6173   26.9858   2.1051   24.2788
  346   26.0039   25.5163   1.6252   24.2788
  347   24.9966   24.5640   1.4419   24.2788
  348   24.3507   23.7988   1.8396   24.2788
  349   24.9635   24.5585   1.3502   24.2788
  350   24.9009   24.4664   1.4483   24.2788
  351   26.3735   25.8370   1.7881   24.2788
  352   25.8162   25.3108   1.6845   24.2788
  353   25.8865   25.3754   1.7038   24.2788
  354   24.3562   23.7919   1.8810   24.2788
  355   24.7677   24.2743   1.6448   24.2788
  356   24.8796   24.4836   1.3197   24.2788
  357   31.4623   30.9608   1.6716   24.2788
  358   24.7342   24.2459   1.6277   24.2788
  359   25.1509   24.7851   1.2192   24.2788
