/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 10000
  Seeds        : [216089, 51, 73, 74, 11, 66, 17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=216089 [candidate]: 42 archs, 144 edges
  seed=51 [candidate]: 42 archs, 143 edges
  seed=73 [candidate]: 42 archs, 148 edges
  seed=74 [candidate]: 42 archs, 140 edges
  seed=11 [candidate]: 42 archs, 146 edges
  seed=66 [candidate]: 42 archs, 142 edges
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=35.5117  mean=32.8878  std=8.7463
  Components: lattice_density=0.022  reach_spread=0.181  lattice_latitude=0.339  reach_latitude=1.089  lattice_shelf=0.090  civ_gap=0.408  peak_asymmetry=0.000  edge_topology=0.135  climate_crop=0.327  yield_asymmetry=0.007  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_dependency=1.159  pu_convergence=10.727  supply_chain=0.000  cu_tech_lead=0.036  au_priority=2.727  serial_horizon=4.000  maritime_asymmetry=0.335  colonial_extraction=1.667  nuclear_convergence=7.360  df_timing=0.213  sov_ordering=0.008  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.020  epi_correlation=0.038

Trial     Total      Mean      Std      Best
  251   23.7244   22.5722   3.8405   22.4732
  252   26.6387   24.6550   6.6122   22.4732
  253   26.9119   25.3251   5.2896   22.4732
  254   25.8303   24.3921   4.7940   22.4732
  255   24.0177   22.5405   4.9237   22.4732
  256   23.2802   21.8926   4.6255   22.4732
  257   23.2854   21.6812   5.3473   22.4732
  258   26.9876   25.8207   3.8893   22.4732
  259   25.0200   23.6748   4.4839   22.4732
  260   22.6105   20.9599   5.5021   22.4732
  261   23.3220   22.2633   3.5291   22.4732
  262   24.3175   22.7364   5.2705   22.4732
  263   26.1860   24.7066   4.9313   22.4732
  264   24.7059   23.3717   4.4471   22.4732
  265   24.1987   22.5637   5.4503   22.4732
  266   26.2739   24.7765   4.9913   22.4732
  267   22.8974   21.3628   5.1152   22.4732
  268   23.2310   21.7133   5.0591   22.4732
  269   26.2067   24.6343   5.2414   22.4732
  270   25.3742   23.8436   5.1018   22.4732
  271   26.9514   25.2118   5.7986   22.4732
  272   25.3625   23.5559   6.0218   22.4732
  273   26.8978   25.3544   5.1446   22.4732
  274   23.5733   22.2560   4.3909   22.4732
  275   22.5292   21.1313   4.6599   22.4732
  276   24.5209   23.2025   4.3946   22.4732
  277   25.4610   24.0248   4.7873   22.4732
  278   24.9203   23.6576   4.2088   22.4732
  279   27.7062   25.6986   6.6922   22.4732
  280   22.1828   20.6205   5.2077   22.1828 *
  281   24.0876   22.3885   5.6638   22.1828
  282   24.4932   23.2142   4.2635   22.1828
  283   24.2246   22.7384   4.9541   22.1828
  284   26.7610   25.8233   3.1255   22.1828
  285   24.1671   22.8704   4.3223   22.1828
  286   26.0091   24.3277   5.6049   22.1828
  287   24.7901   23.3102   4.9330   22.1828
  288   23.5548   22.0366   5.0605   22.1828
  289   24.6705   23.2727   4.6593   22.1828
  290   23.0626   21.4310   5.4387   22.1828
  291   25.7290   24.0317   5.6577   22.1828
  292   24.5371   22.9121   5.4167   22.1828
  293   24.1195   22.8086   4.3700   22.1828
  294   23.9991   22.6471   4.5069   22.1828
  295   24.1616   22.5618   5.3326   22.1828
  296   26.0634   25.0356   3.4260   22.1828
  297   24.5912   23.2182   4.5767   22.1828
  298   22.5375   21.0008   5.1224   22.1828
  299   24.2087   22.5402   5.5615   22.1828
  300   24.5063   22.6915   6.0496   22.1828
  301   24.6939   22.8299   6.2130   22.1828
  302   23.8899   22.4225   4.8915   22.1828
  303   25.8551   25.0676   2.6251   22.1828
  304   24.1954   22.8217   4.5791   22.1828
  305   23.6080   21.9204   5.6252   22.1828
  306   24.3953   23.6293   2.5534   22.1828
  307   22.8953   21.9023   3.3099   22.1828
  308   23.2140   21.6755   5.1281   22.1828
  309   22.6573   21.0123   5.4835   22.1828
  310   29.2876   27.1018   7.2860   22.1828
  311   27.4812   25.1210   7.8676   22.1828
  312   22.4623   20.9230   5.1312   22.1828
  313   24.2138   22.8364   4.5914   22.1828
  314   24.9238   23.0137   6.3669   22.1828
  315   25.4475   23.8642   5.2776   22.1828
  316   25.3745   23.8149   5.1989   22.1828
  317   23.0478   21.4276   5.4008   22.1828
  318   26.8748   25.0167   6.1939   22.1828
  319   25.5407   24.0843   4.8544   22.1828
  320   24.9202   23.2915   5.4291   22.1828
  321   22.8964   21.2378   5.5288   22.1828
  322   22.6501   21.0173   5.4427   22.1828
  323   22.6506   21.1608   4.9661   22.1828
  324   25.8267   24.2597   5.2235   22.1828
  325   24.7013   23.2165   4.9492   22.1828
  326   24.5367   23.0251   5.0389   22.1828
  327   25.1221   23.2867   6.1180   22.1828
  328   25.4415   23.9515   4.9667   22.1828
  329   23.1372   22.0778   3.5312   22.1828
  330   23.6556   22.2329   4.7424   22.1828
  331   24.3526   22.9237   4.7630   22.1828
  332   23.3991   22.5327   2.8881   22.1828
  333   25.7637   24.2931   4.9018   22.1828
  334   23.5120   22.1204   4.6387   22.1828
  335   26.2815   24.5613   5.7340   22.1828
  336   23.8592   22.1889   5.5679   22.1828
  337   23.7041   22.3986   4.3516   22.1828
  338   25.3423   23.3544   6.6263   22.1828
  339   24.9773   23.5592   4.7270   22.1828
  340   26.1129   24.3668   5.8205   22.1828
  341   25.3627   23.9394   4.7442   22.1828
  342   23.9009   22.2365   5.5479   22.1828
  343   23.7424   22.3165   4.7531   22.1828
  344   24.0947   22.6987   4.6532   22.1828
  345   25.7245   24.1120   5.3750   22.1828
  346   25.5042   23.7855   5.7289   22.1828
  347   25.8823   24.5010   4.6044   22.1828
  348   27.4803   25.8199   5.5346   22.1828
  349   23.6998   22.3145   4.6176   22.1828
  350   28.3710   26.3260   6.8167   22.1828
  351   24.3841   22.9527   4.7715   22.1828
  352   24.3415   23.0069   4.4489   22.1828
  353   24.9859   23.6674   4.3949   22.1828
  354   26.2800   24.5599   5.7335   22.1828
  355   22.9844   21.3539   5.4350   22.1828
  356   25.5999   23.9843   5.3852   22.1828
  357   25.6468   24.8071   2.7992   22.1828
  358   24.3780   22.8479   5.1002   22.1828
  359   23.3429   21.7392   5.3454   22.1828
  360   24.8612   23.4542   4.6900   22.1828
  361   23.1230   21.6896   4.7779   22.1828
  362   25.7256   24.1130   5.3753   22.1828
  363   22.8136   21.2272   5.2878   22.1828
  364   23.5233   22.0257   4.9922   22.1828
  365   24.3083   23.5859   2.4080   22.1828
  366   24.4759   22.8173   5.5285   22.1828
  367   25.1323   23.6743   4.8598   22.1828
  368   23.2813   22.1877   3.6453   22.1828
  369   25.0705   23.5859   4.9486   22.1828
  370   23.4722   21.8730   5.3306   22.1828
  371   24.8451   24.2256   2.0650   22.1828
  372   24.7399   23.2828   4.8569   22.1828
  373   24.7286   23.2062   5.0749   22.1828
  374   24.3536   23.3744   3.2642   22.1828
  375   23.3465   21.9510   4.6517   22.1828
  376   25.3263   23.9163   4.7001   22.1828
  377   23.8814   22.3272   5.1809   22.1828
  378   23.6908   22.3058   4.6166   22.1828
  379   24.4349   22.9102   5.0822   22.1828
  380   24.5398   23.7714   2.5611   22.1828
  381   24.0043   22.5764   4.7598   22.1828
  382   22.8103   21.2791   5.1038   22.1828
  383   24.2847   22.8880   4.6556   22.1828
  384   24.4447   22.7868   5.5265   22.1828
  385   28.5796   27.3395   4.1336   22.1828
  386   23.8910   22.3923   4.9957   22.1828
  387   24.5337   23.1733   4.5344   22.1828
  388   23.9223   23.2131   2.3639   22.1828
  389   28.9496   26.8513   6.9942   22.1828
  390   24.2806   22.5285   5.8404   22.1828
  391   23.5496   22.2692   4.2680   22.1828
  392   23.4443   21.7621   5.6072   22.1828
  393   24.6967   23.0129   5.6125   22.1828
  394   24.3383   22.9841   4.5138   22.1828
  395   24.4622   22.9149   5.1577   22.1828
  396   26.0486   24.5304   5.0607   22.1828
  397   23.7963   22.3465   4.8327   22.1828
  398   23.1269   21.5919   5.1167   22.1828
  399   24.1444   22.4502   5.6475   22.1828
  400   24.0938   22.5059   5.2930   22.1828
  401   25.6127   23.6862   6.4219   22.1828
  402   24.1922   22.7429   4.8307   22.1828
  403   24.5429   22.7956   5.8243   22.1828
  404   25.1505   23.8175   4.4434   22.1828
  405   23.8146   22.3050   5.0319   22.1828
  406   24.1167   22.6947   4.7399   22.1828
  407   23.1422   21.5142   5.4266   22.1828
  408   22.5419   21.4975   3.4812   22.1828
  409   22.4953   21.4076   3.6257   22.1828
  410   26.1472   25.6019   1.8177   22.1828
  411   24.9099   23.5494   4.5350   22.1828
  412   25.2723   23.9001   4.5741   22.1828
  413   22.3215   20.7573   5.2141   22.1828
  414   28.2830   26.5181   5.8828   22.1828
  415   23.2314   21.5158   5.7187   22.1828
  416   23.9834   22.4117   5.2391   22.1828
  417   24.3436   23.0132   4.4348   22.1828
  418   26.4080   24.6041   6.0127   22.1828
  419   22.9128   21.3787   5.1136   22.1828
  420   24.5857   24.0981   1.6255   22.1828
  421   25.3705   23.8177   5.1759   22.1828
  422   26.2827   24.6649   5.3926   22.1828
  423   23.8559   22.4608   4.6504   22.1828
  424   24.0746   22.7994   4.2504   22.1828
  425   24.7278   23.3952   4.4419   22.1828
  426   26.1432   25.2711   2.9071   22.1828
  427   24.1578   23.6460   1.7059   22.1828
  428   24.3670   23.0064   4.5352   22.1828
  429   23.8387   22.7201   3.7285   22.1828
  430   27.0596   25.3144   5.8171   22.1828
  431   25.0186   24.3047   2.3797   22.1828
  432   23.3672   21.7737   5.3117   22.1828
  433   23.4623   22.1167   4.4854   22.1828
  434   24.0176   22.6648   4.5092   22.1828
  435   25.4491   24.7178   2.4374   22.1828
  436   24.4951   22.5846   6.3683   22.1828
  437   26.0460   23.9708   6.9173   22.1828
  438   23.6911   22.1314   5.1992   22.1828
  439   22.5595   21.1563   4.6772   22.1828
  440   23.5779   22.0010   5.2564   22.1828
  441   25.2088   23.3577   6.1706   22.1828
  442   25.0555   23.6244   4.7703   22.1828
  443   25.0657   23.8698   3.9863   22.1828
  444   24.0152   22.6672   4.4933   22.1828
  445   24.5415   23.1848   4.5223   22.1828
  446   25.2118   23.8136   4.6608   22.1828
  447   24.6195   23.2244   4.6501   22.1828
  448   24.7349   23.4017   4.4439   22.1828
  449   23.8995   22.3731   5.0882   22.1828
  450   25.4402   23.4672   6.5768   22.1828
  451   23.7141   22.0066   5.6916   22.1828
  452   24.2811   22.8872   4.6462   22.1828
  453   23.4032   21.9491   4.8469   22.1828
